model,R2_5fold,AUC_5fold,AUC_LOSO
baseline,0.0,0.5,0.5
"two-state
descriptor",0.19424939136112385,0.6353820598006644,0.542358803986711
"structural
block (18)",-0.005043657314350414,0.6495016611295682,0.6436877076411961
ECFP4,-0.1367802795079205,0.6029900332225914,0.5946843853820598
