quadrangle,n_substrate_pairs,n_acids,double_difference,ci_lo,ci_hi,dd_heteroaromatic,dd_other,label
"C30,C71|C31,C70",548,71,-0.11616793792538138,-0.14630594303483924,-0.08933491948464532,-0.15491585163742932,-0.08282253228634406,DIPEA/TEA  x  PFP/NHS
"C53,C57|C68,C70",543,71,-0.11513057879708782,-0.14281225581389395,-0.0884064105984902,-0.12580606725776747,-0.07867596512389213,EDC-HCl/DCC  x  NMM/TEA
"C56,C71|C57,C70",545,71,-0.11207937473003982,-0.13960172518805838,-0.08382978522580788,-0.14056946591237146,-0.06675596489987462,NMM/TEA  x  PFP/NHS
"C27,C31|C68,C70",556,71,-0.11154286856158366,-0.13537046635722086,-0.08693239098445121,-0.1316569374164276,-0.07581220042964126,EDC-HCl/DCC  x  DIPEA/TEA
"C68,C69|C70,C73",527,71,0.10813186664583872,0.07741294566835911,0.13953613388664202,0.13625681773888687,0.0627812227318764,NHS/NHPI  x  EDC-HCl/DCC
"C57,C58|C70,C73",526,70,0.10929201268554935,0.08092815929237686,0.13815570079417033,0.14328233188790013,0.06296806938004194,NHS/NHPI  x  NMM/TEA
"C51,C54|C55,C58",527,68,0.1099446958242955,0.08797242608893345,0.13035831740273252,0.07582622092459436,0.13294950048699616,Cl3-PhONa/NHPI  x  EDC-HCl/DCC
"C31,C32|C70,C73",531,71,0.11303982728217128,0.08520661246954525,0.14195166879707172,0.14114989929593644,0.07333689692227537,NHS/NHPI  x  DIPEA/TEA
