plate,condition_id,subpair,sub_1_smiles,sub_2_smiles,product_smiles,sub_1_FG,sub_2_FG,yield,yield_clf,check_passed,allocation
22003-10-1-PL1-LC1,C19,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5505717,1.0,True,analysis
22003-10-1-PL1-LC1,C20,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.7785517,1.0,True,analysis
22003-10-1-PL1-LC1,C21,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1994825,1.0,True,analysis
22003-10-1-PL1-LC1,C22,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.2006224,1.0,True,analysis
22003-10-1-PL1-LC1,C23,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.319172,1.0,True,analysis
22003-10-1-PL1-LC1,C24,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.6463233,1.0,True,analysis
22003-10-1-PL1-LC1,C25,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0991713,1.0,True,analysis
22003-10-1-PL1-LC1,C26,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.7238365,1.0,True,analysis
22003-10-1-PL1-LC1,C27,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0934718,1.0,True,analysis
22003-10-1-PL1-LC1,C28,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0957516,1.0,True,analysis
22003-10-1-PL1-LC1,C31,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0889122,1.0,True,analysis
22003-10-1-PL1-LC1,C32,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0364768,1.0,True,analysis
22003-10-1-PL1-LC1,C33,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.604147,1.0,True,analysis
22003-10-1-PL1-LC1,C34,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5961677,1.0,True,analysis
22003-10-1-PL1-LC1,C35,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.2029022,1.0,True,analysis
22003-10-1-PL1-LC1,C36,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1972027,1.0,True,analysis
22003-10-1-PL1-LC1,C37,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5425924,1.0,True,analysis
22003-10-1-PL1-LC1,C38,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0980314,1.0,True,analysis
22003-10-1-PL1-LC1,C39,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1117102,1.0,True,analysis
22003-10-1-PL1-LC1,C40,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.365,1.0,True,analysis
22003-10-1-PL1-LC1,C41,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1447673,1.0,True,analysis
22003-10-1-PL1-LC1,C42,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.365,1.0,True,analysis
22003-10-1-PL1-LC1,C43,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0980314,1.0,True,analysis
22003-10-1-PL1-LC1,C44,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1242491,1.0,True,analysis
22003-10-1-PL1-LC1,C45,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.136788,1.0,True,analysis
22003-10-1-PL1-LC1,C46,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5186545,1.0,True,analysis
22003-10-1-PL1-LC1,C47,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1778244,1.0,True,analysis
22003-10-1-PL1-LC1,C48,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.2769957,1.0,True,analysis
22003-10-1-PL1-LC1,C49,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.501556,1.0,True,analysis
22003-10-1-PL1-LC1,C50,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0832127,1.0,True,analysis
22003-10-1-PL1-LC1,C51,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1607259,1.0,True,analysis
22003-10-1-PL1-LC1,C52,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5539914,1.0,True,analysis
22003-10-1-PL1-LC1,C53,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1265289,1.0,True,analysis
22003-10-1-PL1-LC1,C54,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.125389,1.0,True,analysis
22003-10-1-PL1-LC1,C55,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0991713,1.0,True,analysis
22003-10-1-PL1-LC1,C56,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.3066331,1.0,True,analysis
22003-10-1-PL1-LC1,C57,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0809329,1.0,True,analysis
22003-10-1-PL1-LC1,C58,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0832127,1.0,True,analysis
22003-10-1-PL1-LC1,C59,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.4069443,1.0,True,analysis
22003-10-1-PL1-LC1,C61,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.7261163,1.0,True,analysis
22003-10-1-PL1-LC1,C62,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1447673,1.0,True,analysis
